All,Alle,module,Magento_AdminGws
None,Keine,module,Magento_AdminGws
"Allowed Scopes","Zulässige Bereiche",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Sie benötigen weitere Berechtigungen, um diese(s) Element(e) zu löschen: %1.",module,Magento_AdminGws
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Einige Regeln wurden geändert aber nicht angewendet. Nur Benutzer mit Administratorenrechten können Regeln anwenden.",module,Magento_AdminGws
"Please assign this entity to a store view.","Bitte weisen Sie diesen Eintrag einem Store-View zu.",module,Magento_AdminGws
"You can create an order in an active store only.","Sie können eine Bestellung nur in einem aktiven Shop erstellen.",module,Magento_AdminGws
"Please assign this item to a store view.","Bitte weisen Sie dieses Element einem Shop-View zu.",module,Magento_AdminGws
"You need more permissions to save this item.","Sie benötigen weitere Berechtigungen, um dieses Element zu speichern.",module,Magento_AdminGws
"You need more permissions to delete this item.","Sie benötigen weitere Berechtigungen, um dieses Element zu löschen.",module,Magento_AdminGws
"You need more permissions to view this item.","Sie benötigen weitere Berechtigungen, um dieses Element anzuzeigen.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Bitte geben Sie mindestens eine Website oder Store-Group an.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","Sie benötigen weitere Berechtigungen, um alle Bereiche einer Rolle zuzuweisen.",module,Magento_AdminGws
"Incorrect website ID: %1","Falsche Website-ID: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Sie benötigen weitere Berechtigungen, um auf die Website ""%1"" zugreifen zu können.",module,Magento_AdminGws
"Incorrect store ID: %1","Ungültige Store-ID: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","Sie benötigen weitere Berechtigungen, um diese Einstellung zu speichern.",module,Magento_AdminGws
"Role Scopes","Bereich der Rolle",module,Magento_AdminGws
Custom,Benutzerdefiniert,module,Magento_AdminGws
"Read Details","Details anzeigen",module,Magento_AdminNotification
"Mark as Read","Als gelesen markieren",module,Magento_AdminNotification
"Are you sure?","Sind Sie sicher?",module,Magento_AdminNotification
Remove,Entfernen,module,Magento_AdminNotification
"Messages Inbox",Posteingang,module,Magento_AdminNotification
"You have %1 new system messages","Sie haben %1 neue System-Nachrichten",module,Magento_AdminNotification
"You have %1 new system message","Sie haben %1 neue System-Nachricht",module,Magento_AdminNotification
"Incoming Message","Eingehende Nachricht",module,Magento_AdminNotification
close,schließen,module,Magento_AdminNotification
"Read details","Details anzeigen",module,Magento_AdminNotification
Notifications,Benachrichtigungen,module,Magento_AdminNotification
"The message has been marked as Read.","Die Nachricht wurde als gelesen markiert.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Leider konnte die Nachricht aufgrund eines Fehlers nicht als gelesen markiert werden.",module,Magento_AdminNotification
"Please select messages.","Bitte Nachrichten auswählen.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Insgesamt wurden %1 Einträge als gelesen markiert.",module,Magento_AdminNotification
"The message has been removed.","Die Nachricht wurde gelöscht.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Wir konnten die Nachrichten aufgrund eines Fehlers nicht entfernen.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Insgesamt wurden %1 Einträge entfernt.",module,Magento_AdminNotification
"1 Hour","1 Stunde",module,Magento_AdminNotification
"2 Hours","2 Stunden",module,Magento_AdminNotification
"6 Hours","6 Stunden",module,Magento_AdminNotification
"12 Hours","12 Stunden",module,Magento_AdminNotification
"24 Hours","24 Stunden",module,Magento_AdminNotification
critical,kritischen,module,Magento_AdminNotification
major,haupt,module,Magento_AdminNotification
minor,neben,module,Magento_AdminNotification
notice,notiz,module,Magento_AdminNotification
"Wrong message type","Falscher Message-Typ",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%1"">configuration</a>.","Es wird nicht empfohlen, {{base_url}} in einer Produktiv-Umgebung zu verwenden, um die (un)sichere Basis-URL festzulegen. Es wird dringend empfohlen, diesen Wert in Ihrer <a href=""%1"">Magento-Konfiguration</a> zu ändern.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1.","Eine oder mehrere Cache-Typen sind ungültig: %1.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Bitte öffnen Sie die <a href=""%1""> Cache-Verwaltung</a> und aktualisieren Sie diese.",module,Magento_AdminNotification
"One or more media files failed to be synchronized during the media storages synchronization process. Refer to the log file for details.","Die Synchronisation einer oder mehrerer Media-Dateien schlug fehl während des Synchronisation-Prozesses des Medienspeichers. Beachten Sie die Log-Datei für Details.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Synchronisierung der Media-Storages ist abgeschlossen.",module,Magento_AdminNotification
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Ihr Webserver ist falsch konfiguriert. Infolgedessen sind die Konfigurationsdateien mit vertraulichen Informationen von außen zugänglich. Bitte kontaktieren Sie Ihren Hosting-Anbieter.",module,Magento_AdminNotification
"We appreciate our merchants' feedback. Please <a href=""#"" data-mage-init=%1>take our survey</a> and tell us about features you'd like to see in Magento.","Wir freuen uns über Reaktionen von unsere Händlern. Bitte <a href=""#"" data-mage-init=%1> nehmen Sie an unserer Umfrage teil</a> und informieren Sie uns über Funktionen, die Sie gern in Magento sehen möchten.",module,Magento_AdminNotification
"Close popup","Popup schließen",module,Magento_AdminNotification
Close,Schließen,module,Magento_AdminNotification
"Critical System Messages","Kritische Systemmeldungen",module,Magento_AdminNotification
"Major System Messages","Wichtige Systemmeldungen",module,Magento_AdminNotification
"System messages",Systemmeldungen,module,Magento_AdminNotification
Notification,Benachrichtigung,module,Magento_AdminNotification
Cancel,Abbrechen,module,Magento_AdminNotification
Acknowledge,Bestätigen,module,Magento_AdminNotification
"See All (%1 unread)","Alle ansehen (%1 ungelesen)",module,Magento_AdminNotification
Actions,Aktionen,module,Magento_AdminNotification
Message,Nachricht,module,Magento_AdminNotification
"Use HTTPS to Get Feed","Bitte verwende HTTPS und den Feed anzuzeigen",module,Magento_AdminNotification
"Update Frequency","Update Frequenz",module,Magento_AdminNotification
"Last Update","Letzte Aktualisierung",module,Magento_AdminNotification
Severity,Schweregrad,module,Magento_AdminNotification
"Date Added","Hinzugefügt am",module,Magento_AdminNotification
Remove,Entfernen,module,Magento_AdvancedCheckout
Cancel,Abbrechen,module,Magento_AdvancedCheckout
"Manage Shopping Cart","Warenkorb verwalten",module,Magento_AdvancedCheckout
"Create Order","Neue Bestellung",module,Magento_AdvancedCheckout
Back,Zurück,module,Magento_AdvancedCheckout
"Add Products","Artikel hinzufügen",module,Magento_AdvancedCheckout
"Update Items and Qty's","Artikel und Menge aktualisieren",module,Magento_AdvancedCheckout
"Are you sure you want to clear your shopping cart?","Sind Sie sicher, dass Sie Ihrem Warenkorb leeren möchten?",module,Magento_AdvancedCheckout
"Clear the shopping cart.","Warenkorb leeren.",module,Magento_AdvancedCheckout
"Add Selected Product(s) to Shopping Cart","Fügen Sie ausgewählte Produkte zum Warenkorb hinzu",module,Magento_AdvancedCheckout
"Shopping Cart for %1 in %2","Warenkorb für %1 in %2",module,Magento_AdvancedCheckout
"Choose  products to add to shopping cart.","Choose  products to add to shopping cart.",module,Magento_AdvancedCheckout
Product,Produkt,module,Magento_AdvancedCheckout
Price,Preis,module,Magento_AdvancedCheckout
Quantity,Menge,module,Magento_AdvancedCheckout
"Products in the Comparison List (%1)","Produkte in der Vergleichsliste (%1)",module,Magento_AdvancedCheckout
"Last ordered items (%1)","Letzten bestellten Artikel (%1)",module,Magento_AdvancedCheckout
Products,Artikel,module,Magento_AdvancedCheckout
ID,Id,module,Magento_AdvancedCheckout
SKU,Artikelnummer,module,Magento_AdvancedCheckout
"Recently Compared Products (%1)","Zuletzt verglichene Produkte (%1)",module,Magento_AdvancedCheckout
"Recently Viewed Products (%1)","Zuletzt angesehene Produkte (%1)",module,Magento_AdvancedCheckout
"Add to Shopping Cart by SKU","Per Artikelnummer zum Warenkorb hinzufügen",module,Magento_AdvancedCheckout
"Add to Shopping Cart","Zum Warenkorb hinzufügen",module,Magento_AdvancedCheckout
"Wish List (%1)","Wunschliste (%1)",module,Magento_AdvancedCheckout
Apply,Anwenden,module,Magento_AdvancedCheckout
Configure,Konfigurieren,module,Magento_AdvancedCheckout
"Add to Order by SKU","Per Artikelnummer zur Bestellung hinzufügen",module,Magento_AdvancedCheckout
"Add to Order","Zur Bestellung hinzufügen",module,Magento_AdvancedCheckout
"Add Products to Order","Produkte zur Bestellung hinzufügen",module,Magento_AdvancedCheckout
"<span id=""sku-attention-num"">%1</span> product(s) require attention.","<span id=""sku-attention-num"">%1</span> product(s) require attention.",module,Magento_AdvancedCheckout
"Remove All","Alle entfernen",module,Magento_AdvancedCheckout
"Only %1%2%3 left in stock","Nur %1%2%3 auf Lager verbleibend",module,Magento_AdvancedCheckout
"The maximum quantity allowed for purchase is %1.","The maximum quantity allowed for purchase is %1.",module,Magento_AdvancedCheckout
"The minimum quantity allowed for purchase is %1.","The minimum quantity allowed for purchase is %1.",module,Magento_AdvancedCheckout
"Specify the product's options","Specify the product's options",module,Magento_AdvancedCheckout
"Receive notice when item is restocked.","Receive notice when item is restocked.",module,Magento_AdvancedCheckout
"Customer not found","Customer not found",module,Magento_AdvancedCheckout
"Shopping cart management disabled for this customer.","Shopping cart management disabled for this customer.",module,Magento_AdvancedCheckout
"Shopping cart management is disabled for this customer.","Warenkorb Verwaltung ist für diesen Kunden deaktiviert.",module,Magento_AdvancedCheckout
"We could not find this store.","We could not find this store.",module,Magento_AdvancedCheckout
Customers,Kunden,module,Magento_AdvancedCheckout
"Shopping Cart",Warenkorb,module,Magento_AdvancedCheckout
"An error has occurred. See error log for details.","Ein Fehler ist aufgetreten. Details sind in der Fehlerlogdatei sichtbar.",module,Magento_AdvancedCheckout
"You do not have access to this.","Sie haben darauf keinen Zugriff.",module,Magento_AdvancedCheckout
"The wish list item id is not received.","Wunschliste Artikel-Id ist nicht erhalten.",module,Magento_AdvancedCheckout
"The wish list item is not loaded.","Der Wunschlisteneintrag ist nicht geladen.",module,Magento_AdvancedCheckout
"Ordered item id is not received.","Artikel Id wurde nicht empfangen.",module,Magento_AdvancedCheckout
"Ordered item is not loaded.","Die Bestellung ist nicht geladen.",module,Magento_AdvancedCheckout
"Quote item id is not received.","Wir konnten die Wunschliste nicht finden.",module,Magento_AdvancedCheckout
"Quote item is not loaded.","Warenkorb ist nicht geladen.",module,Magento_AdvancedCheckout
"You removed the item.","Sie haben den Artikel entfernt.",module,Magento_AdvancedCheckout
"You removed the items.","Sie haben die Artikel entfernt.",module,Magento_AdvancedCheckout
"You cannot configure a product.","Sie können kein Produkt konfigurieren.",module,Magento_AdvancedCheckout
"You added %1 to your shopping cart.","Sie haben %1 in Ihren Warenkorb gelegt.",module,Magento_AdvancedCheckout
"You cannot add a product.","Sie können kein Produkt hinzufügen.",module,Magento_AdvancedCheckout
"Order by SKU","Bestellung anhand Artikelnummer",module,Magento_AdvancedCheckout
"SKU not found in catalog.","Artikelnummer im Katalog nicht gefunden.",module,Magento_AdvancedCheckout
"Availability: Out of stock.","Verfügbarkeit: Nicht auf Lager.",module,Magento_AdvancedCheckout
"The requested quantity is not available.","The requested quantity is not available.",module,Magento_AdvancedCheckout
"The product cannot be added to cart in requested quantity.","The product cannot be added to cart in requested quantity.",module,Magento_AdvancedCheckout
"Please specify the product's options.","Please specify the product's options.",module,Magento_AdvancedCheckout
"The product cannot be added to cart.","The product cannot be added to cart.",module,Magento_AdvancedCheckout
"Please enter a valid number in the ""Qty"" field.","Please enter a valid number in the ""Qty"" field.",module,Magento_AdvancedCheckout
"The product is assigned to another website.","The product is assigned to another website.",module,Magento_AdvancedCheckout
"You can add only enabled products.","Sie können nur aktivierte Produkte hinzufügen.",module,Magento_AdvancedCheckout
"You cannot upload this file.","Sie können diese Datei nicht hochladen.",module,Magento_AdvancedCheckout
"The file is empty.","Die Datei ist leer.",module,Magento_AdvancedCheckout
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Sie haben keine Artikelnummer eingegeben. Bitte <a href=""%1"">klicken Sie hier</a> um ein Produkt per Artikelnummer(n) hinzuzufügen.",module,Magento_AdvancedCheckout
"You have not entered a product SKU.","Sie haben keine Artikelnummer eingegeben.",module,Magento_AdvancedCheckout
"Failed to add a product to cart by id ""%1"".","Failed to add a product to cart by id ""%1"".",module,Magento_AdvancedCheckout
"Something went wrong reordering this product.","Something went wrong reordering this product.",module,Magento_AdvancedCheckout
"We couldn't find this wish list.","We couldn't find this wish list.",module,Magento_AdvancedCheckout
"You added %1 product to your shopping cart.","Sie haben den Artikel %1 zum Warenkorb hinzugefügt.",module,Magento_AdvancedCheckout
"You added %1 products to your shopping cart.","Sie haben %1 Artikel zum Warenkorb hinzugefügt.",module,Magento_AdvancedCheckout
"%1 product requires your attention.","%1 Produkt erfordert Ihre Aufmerksamkeit.",module,Magento_AdvancedCheckout
"%1 products require your attention.","%1 Produkte erfordern Ihre Aufmerksamkeit.",module,Magento_AdvancedCheckout
"Yes, for Specified Customer Groups","Ja, für angegebene Kundengruppen",module,Magento_AdvancedCheckout
"Yes, for Everyone","Ja, für alle",module,Magento_AdvancedCheckout
No,Keine,module,Magento_AdvancedCheckout
"The file is corrupt.","Diese Datei ist beschädigt.",module,Magento_AdvancedCheckout
"This file needs to be in .csv format.","Die Datei muss im CSV-Format sein.",module,Magento_AdvancedCheckout
"%1 item(s) need your attention.","%1 Artikel benötigen ihre Aufmerksamkeit.",module,Magento_AdvancedCheckout
"Apply Coupon Code","Gutscheincode anwenden",module,Magento_AdvancedCheckout
"Remove Coupon Code","Gutscheincode verwerfen",module,Magento_AdvancedCheckout
"The coupon code ""%1"" is not valid.","Der Gutschein-Code ""%1"" ist ungültig.",module,Magento_AdvancedCheckout
"Shopping Cart Items","Artikel im Warenkorb",module,Magento_AdvancedCheckout
Qty,Menge,module,Magento_AdvancedCheckout
Subtotal,Zwischensumme,module,Magento_AdvancedCheckout
Discount,Rabatt,module,Magento_AdvancedCheckout
"Row Subtotal","Zeilen Zwischensumme",module,Magento_AdvancedCheckout
Action,Aktion,module,Magento_AdvancedCheckout
"No ordered items","Keine bestellten Produkte",module,Magento_AdvancedCheckout
"Total %1 product(s)","Insgesamt %1 Produkt(e)",module,Magento_AdvancedCheckout
Subtotal:,Zwischensumme:,module,Magento_AdvancedCheckout
"Excl. Tax","Exkl. Steuern",module,Magento_AdvancedCheckout
Total,Total,module,Magento_AdvancedCheckout
"Incl. Tax","Inkl. Steuern",module,Magento_AdvancedCheckout
"Total incl. tax","Total incl. tax",module,Magento_AdvancedCheckout
"Move to Wishlist","Move to Wishlist",module,Magento_AdvancedCheckout
"No item specified.","Kein Artikel angegeben.",module,Magento_AdvancedCheckout
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?",module,Magento_AdvancedCheckout
SKU's,SKU's,module,Magento_AdvancedCheckout
File,Datei,module,Magento_AdvancedCheckout
"Your csv file must include ""sku"" and ""qty"" columns.","Ihre csv-Datei muss die Spalten ""sku"" und ""qty"" enthalten.",module,Magento_AdvancedCheckout
Reset,Zurücksetzen,module,Magento_AdvancedCheckout
SKU:,Artikelnummer:,module,Magento_AdvancedCheckout
"Only <span id=""%1_max_allowed"">%2</span> in stock","Nur noch<span id=""%1_max_allowed"">%2</span> auf Lager",module,Magento_AdvancedCheckout
"Edit item parameters","Artikelparameter bearbeiten",module,Magento_AdvancedCheckout
Edit,Bearbeiten,module,Magento_AdvancedCheckout
"Remove item","Artikel entfernen",module,Magento_AdvancedCheckout
"Products Requiring Attention","Produkte benötigen Aufmerksamkeit",module,Magento_AdvancedCheckout
Item,Artikel,module,Magento_AdvancedCheckout
"Unit Price","Unit Price",module,Magento_AdvancedCheckout
"Add to Cart","Dem Einkaufswagen hinzufügen",module,Magento_AdvancedCheckout
Sku,Artikelnr.,module,Magento_AdvancedCheckout
"File extensions allowed: .csv","Erlaubte Datei-Erweiterungen: .csv",module,Magento_AdvancedCheckout
"File must contain two columns, with ""sku"" and ""qty"" in the header row.","File must contain two columns, with ""sku"" and ""qty"" in the header row.",module,Magento_AdvancedCheckout
